关联ID,源实体类型,源ID,目标实体类型,目标ID,关系类型,关系说明,状态,更新时间
REL-001,需求,REQ-001,项目,PRJ-001,立项生成,REQ-001 已立项为 PRJ-001,启用,2026/7/1
REL-002,需求,REQ-002,项目,PRJ-002,立项生成,REQ-002 已立项为 PRJ-002,启用,2026/7/1
REL-003,需求,REQ-003,项目,PRJ-003,立项生成,REQ-003 已立项为 PRJ-003,启用,2026/7/1
REL-004,项目,PRJ-001,批次,BATCH-001,拆分批次,PRJ-001 拆分出 BATCH-001,启用,2026/7/1
REL-005,项目,PRJ-001,批次,BATCH-002,拆分批次,PRJ-001 拆分出 BATCH-002,启用,2026/7/1
REL-006,项目,PRJ-001,批次,BATCH-003,拆分批次,PRJ-001 拆分出 BATCH-003,启用,2026/7/1
REL-007,项目,PRJ-002,批次,BATCH-004,拆分批次,PRJ-002 拆分出 BATCH-004,启用,2026/7/1
REL-008,项目,PRJ-002,质量事件,QINC-003,发生质量事件,PRJ-002 发生质量事件 QINC-003,启用,2026/7/1
REL-009,项目,PRJ-002,质量事件,QINC-004,发生质量事件,PRJ-002 发生质量事件 QINC-004,启用,2026/7/1
REL-010,质量事件,QINC-003,规则,RULE-003,违反规则,QINC-003 违反 RULE-003 语音转写格式规范,启用,2026/7/1
REL-011,质量事件,QINC-004,规则,RULE-008,违反规则,QINC-004 违反 RULE-008 标注一致性检验规范,启用,2026/7/1
REL-012,项目,PRJ-003,操作事项,OP-006,需要执行,PRJ-003 需要执行发起结算 OP-006,启用,2026/7/1
REL-013,项目,PRJ-003,操作事项,OP-005,已完成操作,PRJ-003 已完成验收 OP-005,启用,2026/7/1
REL-014,规则,RULE-001,工具,TOOL-002,适用工具,RULE-001 可使用 BBoxTool,启用,2026/7/1
REL-015,项目,PRJ-001,供应商,SUP-001,执行供应商,PRJ-001 由 SUP-001 执行采集,启用,2026/7/1
