【一、前端页面数据库打通情况】
页面路径,页面名称,所属模块,打通状态,数据来源说明
/auth/signin,登录页,Auth,N/A,"登录页，不涉及数据库查询"
/(root),首页,Other,N/A,"重定向到登录或工作台"
/operator/agent-console,Dashboard,AI Agent Console,已打通,"prisma直接查询"
/operator/agent-console/studio,Agent Studio,AI Agent Console,已打通,"prisma查询workflow+nodes+edges+skills+tools+models+knowledge；save/publish API已对接"
/operator/agent-console/test,测试与发布,AI Agent Console,已打通,"prisma直接查询"
/operator/agent-console/monitor,运行监控,AI Agent Console,已打通,"prisma直接查询"
/operator/agent-console/knowledge/operation,知识运营中心,AI Agent Console,已打通,"prisma直接查询"
/operator/agent-console/knowledge/assets,知识资产中心,AI Agent Console,已打通,"prisma直接查询"
/operator/agent-console/knowledge/graph,知识关系图谱,AI Agent Console,已打通,"prisma直接查询"
/operator/agent-console/rag,RAG检索中心,AI Agent Console,已打通,"prisma直接查询；向量搜索API已实现"
/operator/agent-console/models,模型服务,AI Agent Console,已打通,"prisma直接查询"
/operator/agent-console/settings,权限与审计,AI Agent Console,已打通,"prisma直接查询"
/operator,运营工作台,Operator,已打通,"prisma直接查询"
/operator/projects,项目管理,Operator,已打通,"prisma直接查询"
/operator/projects/[code],项目详情,Operator,已打通,"prisma直接查询"
/operator/collection,数据采集,Operator,已打通,"prisma直接查询"
/operator/annotation,数据标注,Operator,已打通,"prisma直接查询"
/operator/quality,质量监控,Operator,已打通,"prisma直接查询"
/operator/quality/defects,缺陷库,Operator,未打通,"静态页面，无数据库查询"
/operator/review,项目审核,Operator,已打通,"prisma直接查询"
/operator/finance,财务结算,Operator,已打通,"prisma直接查询"
/operator/suppliers,供应商管理,Operator,未打通,"纯静态模拟数据"
/operator/agent,Agent助手,Operator,已打通,"调用API + prisma"
/operator/logs,操作日志,Operator,已打通,"prisma直接查询"
/operator/assets,数据资产中心,Operator,已打通,"prisma直接查询"
/operator/settings,系统设置,Operator,未打通,"纯静态页面"
/operator/permissions,权限管理,Operator,未打通,"纯静态模拟数据"
/user,用户首页,User,N/A,"重定向到/user/workspace"
/user/workspace,用户工作台,User,已打通,"prisma直接查询"
/user/projects/[code],项目详情,User,已打通,"prisma直接查询"
/user/projects/[code]/chat,项目对话,User,已打通,"prisma直接查询"
/user/agent,Agent助手,User,已打通,"prisma直接查询"
/user/models,模型中心,User,已打通,"prisma直接查询"
/user/data,数据管理,User,已打通,"prisma直接查询"
/user/annotation,数据标注,User,已打通,"prisma直接查询"
/user/collection,数据采集,User,已打通,"prisma直接查询"
/user/compute,计算资源,User,未打通,"纯静态模拟数据"
/user/settings,设置中心,User,未打通,"纯静态页面"
/user/workflow-demo,工作流演示,User,未打通,"演示页，模拟数据"
/supplier,供应商工作台,Supplier,未打通,"纯静态模拟数据"
/supplier/annotation,标注工作台,Supplier,未打通,"纯静态模拟数据"
/supplier/annotation/[batchId],标注详情,Supplier,未打通,"纯静态模拟数据"
/supplier/chat/[projectId],供应商沟通,Supplier,未打通,"纯静态模拟数据"
/supplier/delivery,交付管理,Supplier,未打通,"纯静态模拟数据"
/supplier/team,团队管理,Supplier,未打通,"纯静态模拟数据"
/supplier/quality,质量管理,Supplier,未打通,"纯静态模拟数据"
/supplier/split,数据拆分,Supplier,未打通,"纯静态模拟数据"
/supplier/rules,规则中心,Supplier,未打通,"纯静态模拟数据"
/supplier/settlement,结算中心,Supplier,未打通,"纯静态模拟数据"
/projects/new,新建项目,Other,部分打通,"前端表单已有，提交后走API创建项目但部分字段未映射"

统计,已打通:29页,未打通:18页,N/A:3页,总页面数:50页,打通率:62%

【二、API路由打通情况】
API路径,功能,状态,说明
/api/agent-console/workflow/create,创建Workflow,已打通,"Prisma创建AgentWorkflow记录"
/api/agent-console/workflow/save,保存Workflow草稿,已打通,"Prisma upsert nodes+edges，支持configJson/runtimeConfig"
/api/agent-console/workflow/publish,发布Workflow版本,已打通,"Prisma创建版本快照，自动递增版本号"
/api/agent-console/workflow/run,运行Workflow,部分打通,"基础执行器已实现，但仅顺序执行节点，未实现条件分支/业务路由/知识检索"
/api/agent-console/knowledge,知识管理CRUD,已打通,"Prisma增删改查Knowledge"
/api/agent-console/rag/search,RAG向量检索,已打通,"查询KnowledgeEmbedding执行向量搜索"
/api/agent/chat,Agent聊天,已打通,"DeepSeek API调用+AgentSession/Message持久化"
/api/auth/register,用户注册,已打通,"Prisma创建User+OrganizationMember"

【三、Workflow系统数据打通情况】
模块,状态,说明
AgentWorkflow表,已打通,"创建/查询/更新完整"
AgentWorkflowNode表,已打通,"保存含configJson/runtimeConfig/description/inputSchema/outputSchema"
AgentWorkflowEdge表,已打通,"sourceNodeId/targetNodeId/sourcePort/targetPort/condition"
WorkflowVariable表,已打通,"Schema已定义，前端Input Node支持userInputs/runtimeContext配置"
AgentSessionTrace表,Schema已定义,"Prisma模型已建，但无API写入执行记录"
AgentNodeExecution表,Schema已定义,"Prisma模型已建，但无API写入节点执行详情"
React Flow画布,已打通,"节点拖拽/连线/右键菜单/缩放/平移全部工作"
节点配置面板,已打通,"动态渲染11种节点类型配置字段，含分组/变量端口/Runtime Context"
Input Node升级,已打通,"企业级入口节点：用户输入字段编辑+Runtime Context展示+变量系统"
连线风格,已打通,"Dify风格bezier浅灰连线，无箭头"
版本发布,已打通,"版本号自动递增+旧版本快照保留"

【四、未打通模块详情】
模块,涉及页面,缺失内容,优先级
供应商全模块,/supplier/* 8个页面,"所有供应商页面使用静态模拟数据，未连接Supplier/ProjectTask/SupplierChat表",高
缺陷库,/operator/quality/defects,"使用静态数据，未连接QualityEvent表查询",中
供应商管理(运营侧),/operator/suppliers,"使用静态模拟数据，未连接Supplier表",高
系统设置,/operator/settings,"纯静态页面，无数据库操作",低
权限管理,/operator/permissions,"纯静态模拟数据，未连接OrganizationMember表",中
计算资源,/user/compute,"纯静态模拟数据，平台不提供GPU仅做推荐",低
设置中心,/user/settings,"纯静态页面",低
工作流演示,/user/workflow-demo,"演示页，模拟数据",低
Runtime执行引擎,/api/agent-console/workflow/run,"仅顺序执行，未实现条件分支/业务路由/知识检索/Agent Skill绑定",高
执行记录,AgentSessionTrace+AgentNodeExecution,"Schema已建但无API写入，测试/监控页面无法展示真实Trace",高

【五、数据库表结构（Prisma Schema）】
模型名（表名）,字段名,数据类型,是否必填,默认值,关系/备注
Organization,id,String,是,"cuid()",主键
Organization,name,String,是,,
Organization,type,String,是,,
Organization,description,String?,否,,
Organization,createdAt,DateTime,是,"now()",
Organization,updatedAt,DateTime,是,,自动更新
Organization,members,OrganizationMember[],否,,数组
Organization,projects,Project[],否,,"数组, @relation(""ProjectOwnerOrg"")"
Organization,supplier,Supplier?,否,,
Organization,cloudConnections,CloudConnection[],否,,数组
User,id,String,是,"cuid()",主键
User,name,String,是,,
User,email,String,是,,唯一
User,emailVerified,DateTime?,否,,
User,phone,String?,否,,
User,avatarUrl,String?,否,,
User,password,String?,否,,
User,createdAt,DateTime,是,"now()",
User,updatedAt,DateTime,是,,自动更新
User,orgMembers,OrganizationMember[],否,,数组
User,createdProjects,Project[],否,,"数组, @relation(""ProjectCreator"")"
User,operatedProjects,Project[],否,,"数组, @relation(""ProjectOperator"")"
