批次ID,关联项目ID,任务类型,分配团队/人,分配数据量,预估生产效率,效率单位,实际生产效率,计划开始,计划结束,实际完成,当前状态,前置批次ID,返修次数,当前风险,产出物路径,备注
BATCH-001,PRJ-001,首标,某外部采集供应商A,326张,100,张/人天,105,2026/7/1,2026/7/3,2026/7/3,已完成,无,0,无,/data/PRJ-001/BATCH-001/,初次采集夜间城市道路
BATCH-002,PRJ-001,首标,某外部采集供应商A,180张,100,张/人天,90,2026/7/3,2026/7/5,2026/7/5,已完成,无,0,实际效率低于预估（雨天影响）,/data/PRJ-001/BATCH-002/,雨天场景采集效率下降
BATCH-003,PRJ-001,首标,某外部采集供应商A,4494张,110,张/人天,,2026/7/5,2026/7/14,,进行中,BATCH-002,0,雨天窗口不确定可能延期,未产出,剩余数据量采集
BATCH-004,PRJ-002,首标,内部标注团队,80小时,8,小时/人天,8.5,2026/6/20,2026/6/25,2026/6/24,已完成,无,0,无,/data/PRJ-002/BATCH-004/,第一轮转写标注
BATCH-005,PRJ-002,质检,内部质检团队,80小时,10,小时/人天,9,2026/6/25,2026/6/28,2026/6/28,已完成,BATCH-004,0,发现一致性问题已触发返修,未产出,首轮质检发现QINC-004
BATCH-006,PRJ-003,首标,某外部标注供应商B,5000帧,200,帧/人天,210,2026/5/1,2026/5/10,2026/5/9,已完成,无,1,已完成但曾发生P0错标事件,未产出,QINC-007方向角偏差
BATCH-007,PRJ-003,质检,内部质检团队,5000帧,250,帧/人天,240,2026/5/10,2026/5/15,2026/5/14,已完成,BATCH-006,0,已完成,未产出,质检发现漏标QINC-008
BATCH-008,PRJ-005,首标,内部标注团队,5000张,300,张/人天,310,2026/7/1,2026/7/10,2026/7/9,已完成,无,0,无,/data/PRJ-005/BATCH-008/,第一批行人2D框标注
BATCH-009,PRJ-005,质检,某外部质检供应商D,5000张,400,张/人天,,2026/7/10,2026/7/13,,进行中,BATCH-008,0,质检结果待出，关系后续返修,未产出,质检进行中
BATCH-010,PRJ-004,首标,某外部采集供应商C,100小时,5,小时/人天,6,2026/7/10,2026/7/20,,进行中,无,0,暂无风险,未产出,中文普通话采集效率略高
BATCH-011,PRJ-004,首标,某外部采集供应商C,100小时,5,小时/人天,,2026/7/20,2026/7/30,,待启动,BATCH-010,0,依赖BATCH-010完成,未产出,英语采集
BATCH-012,PRJ-004,首标,某外部采集供应商C,100小时,5,小时/人天,,2026/7/30,2026/8/5,,待启动,BATCH-011,0,依赖BATCH-011完成,未产出,粤语采集
BATCH-013,PRJ-002,返修,内部标注团队,50小时,6,小时/人天,4.5,2026/6/26,2026/7/3,,进行中,BATCH-005,1,返修效率低于预估（难度大），有延期风险,未产出,针对QINC-003返修
BATCH-014,PRJ-005,返修,内部标注团队,450张,200,张/人天,,2026/7/13,,,待启动,BATCH-009,0,等待BATCH-009质检结果才能启动,未产出,针对QINC-005漏标返修
