事件ID,关联项目ID,关联批次ID,关联规则ID,事件类型,严重级别,样本ID,缺陷对象类型,缺陷对象ID,缺陷坐标/位置,影响数据量,发现阶段,发现日期,处理动作,当前状态,根因分析,责任方,是否需要返修,是否典型案例
QINC-001,PRJ-001,BATCH-001,RULE-005,采集质量不合格,P1,IMG_0703_0001~IMG_0703_0326,图像,整帧,全图,326张,抽检,2026/7/3,退回重采,已关闭,采集设备参数设置错误,某外部采集供应商A,是,否
QINC-002,PRJ-001,BATCH-002,RULE-005,采集质量不合格,P1,IMG_0705_0050~IMG_0705_0229,图像,整帧,全图,180张,抽检,2026/7/5,退回重采,已关闭,防雨罩未安装到位,某外部采集供应商A,是,否
QINC-003,PRJ-002,BATCH-004,RULE-003,转写错误,P0,AUD_0625_00001~AUD_0625_00050,语音片段,seg_00342~seg_00412,"-34,204,120",50小时,全检,2026/6/25,全量返修,处理中,标注员未按双声道规则区分说话人,内部标注团队,是,是
QINC-004,PRJ-002,BATCH-004,RULE-008,一致性问题,P1,AUD_0628_00012~AUD_0628_00041,语音片段,seg_00891,"-32,103,520",30小时,质检,2026/6/28,部分返修,已关闭,规则描述不够清晰已升级规则至V1.1,内部质检团队,是,是
QINC-005,PRJ-005,BATCH-008,RULE-001,漏标,P1,IMG_0712_0450~IMG_0712_0899,2D框,缺失,缺失(深色车辆未被标注),450张,抽检,2026/7/12,全量返修,处理中,标注员对深色车辆辨识经验不足,内部标注团队,是,是
QINC-006,PRJ-005,BATCH-008,RULE-002,属性错误,P2,IMG_0714_0100~IMG_0714_0299,2D框,BOX_00123,"(120,80,350,400)",200张,算法反馈,2026/7/14,部分返修,处理中,年龄段边界模糊需增加示例图片,内部标注团队,是,否
QINC-007,PRJ-003,BATCH-006,RULE-004,错标,P0,PC_0520_00001~PC_0520_02000,3D框,BOX_3D_00567,"(2.1,0.5,0.3,1.8,4.2,1.6,0.785)",2000帧,全检,2026/5/20,全量返修,已关闭,标注工具坐标系设置错误,某外部标注供应商B,是,是
QINC-008,PRJ-003,BATCH-007,RULE-004,漏标,P1,PC_0528_00500~PC_0528_00799,3D框,缺失,缺失(远距离小标识牌未标注),300帧,抽检,2026/5/28,部分返修,已关闭,规则未明确小目标标注阈值,某外部标注供应商B,是,否
QINC-009,PRJ-004,BATCH-010,RULE-006,采集质量不合格,P1,AUD_0716_00001~AUD_0716_00020,语音片段,整段,"(0,3600000)",20小时,抽检,2026/7/16,退回重采,已关闭,采集车辆空调未关闭,某外部采集供应商C,是,是
QINC-010,PRJ-004,BATCH-011,RULE-006,采集质量不合格,P2,AUD_0718_00055~AUD_0718_00064,语音片段,整段,"(0,600000)",10小时,全检,2026/7/18,重新归类,处理中,采集员对粤语识别不足,某外部采集供应商C,否,否
