需求ID,需求标题,需求方,客户组织ID,需求类型,数据模态,场景描述,样例数据状态,安全信息状态,验收标准,预估数据量,期望周期,预算范围,优先级,状态,创建时间,负责人,是否可用于AI分析,是否已脱敏
REQ-001,夜间城市道路车辆图像采集,某自动驾驶感知团队,ORG-AutoDriving-01,采集,图像,夜间、城市主干道、雨天或地面积水、有路灯照明,已上传,已填报,分辨率≥1080P，车辆无运动模糊，车牌可辨认,5000张,2026/7/20,1-5万,P1,执行中,2026/6/15,张运营,是,是
REQ-002,金融客服语音转写标注,某智能客服产品团队,ORG-FinTech-02,标注,语音,金融领域客服通话，双声道，无明显噪音,已上传,已填报,转写文本需与音频完全一致，准确率≥98%，说话人分离,200小时,2026/7/15,5-10万,P0,执行中,2026/6/18,李运营,是,是
REQ-003,高速公路标识牌点云3D框标注,某高精地图团队,ORG-Mapping-03,标注,点云,高速公路场景，限速牌、方向指示牌、出口预告牌,已上传,已填报,3D框与标识牌IoU≥0.9，属性（限速值/方向）标注正确,10000帧,2026/6/30,3-8万,P2,已交付,2026/5/1,王运营,是,是
REQ-004,车载多语种语音采集,某车载语音团队,ORG-AutoDriving-01,采集,语音,车辆行驶中车内环境，中文普通话、英语、粤语各1/3,已上传,已填报,采样率≥16kHz，信噪比≥20dB，无对话重叠,300小时,2026/8/15,10-20万,P1,已立项,2026/6/20,张运营,是,是
REQ-005,街道行人2D框标注（含属性）,某安防算法团队,ORG-Security-04,标注,图像,城市街道监控视角，包含不同年龄段行人,已上传,已填报,2D框贴合行人轮廓，属性（性别/年龄段/朝向）准确率≥95%,20000张,2026/8/1,5-15万,P0,执行中,2026/6/22,赵运营,是,是
REQ-006,无人机航拍农田图像采集,某智慧农业团队,ORG-AgriTech-05,采集,图像,农田上空500m，正射视角，覆盖水稻、小麦、玉米三种作物,未上传,未填报,分辨率≥4K，无云层遮挡，单张覆盖面积≥2亩,30000张,2026/9/1,15-30万,P1,待评估,2026/7/1,李运营,是,是
REQ-007,车内手势关键点标注,某智能座舱团队,ORG-AutoDriving-01,标注,图像,车内第一视角，驾驶员手部动作，含抓握/指向/滑动等手势,已上传,已填报,21个手部关键点标注，手指弯曲可见时需逐关节标注,15000张,2026/8/20,8-15万,P1,评估中,2026/7/3,张运营,是,是
REQ-008,工业零件缺陷检测标注,某智能制造团队,ORG-Manufacturing-06,质检,图像,流水线拍摄的金属零件，需要识别划痕/凹陷/锈蚀,已上传,已填报,缺陷类型分类准确率≥97%，缺陷区域分割IoU≥0.85,8000张,2026/7/30,5-12万,P1,评估中,2026/7/2,王运营,是,是
REQ-009,多模态视频行为分析标注,某AI研究团队,ORG-AIResearch-07,标注,视频,第一视角+第三视角交互场景，手部与物品接触动作,未上传,已填报,2D手部姿势+交互物体分割+接触时间点+视频片段描述,500段视频（约50小时）,2026/9/30,20-40万,P0,草稿,2026/7/5,赵运营,是,是
REQ-010,医疗影像CT肺结节标注,某医疗AI团队,ORG-MedTech-08,标注,图像,胸部CT影像，需标注肺结节位置/大小/恶性等级,未上传,未填报,结节检出率≥98%，良恶性分类准确率≥90%,5000例,2026/10/15,30-50万,P1,草稿,2026/7/6,李运营,是,是
