规则ID,版本号,规则名称,规则类型,适用模态,适用范围,规则描述,质量度量方法,示例说明,状态,更新时间
RULE-001,V1.0,车辆外轮廓2D框标注规范,标注规范,图像,2D检测-车辆,沿车辆可见外轮廓紧密贴合绘制矩形框；若车辆被部分遮挡只标注可见部分；被截断在画面边缘的车辆需标注,2D框与真值IoU≥0.85；漏标率<1%,正例：框边缘贴合车身无留白；反例：框包含大面积背景或遗漏车尾,启用,2026/6/1
RULE-002,V1.0,行人属性标注规范,标注规范,图像,2D检测-行人,标注行人性别（男/女/不确定）、年龄段（儿童/青年/中年/老年）、朝向（正面/背面/左侧/右侧）、遮挡程度（无/部分/严重）,属性准确率≥95%；性别和年龄段需双人交叉校验,年龄段边界示例：15-17岁归青年，45-55岁归中年，边界模糊时取年轻档,启用,2026/6/1
RULE-003,V1.0,语音转写格式规范,标注规范,语音,语音转写,说话人转写文本需与音频严格一致；非语言信号标注为[噪音]/[笑声]/[停顿]；中文使用简体字；数字按口语转写,转写准确率≥98%；说话人分离错误率<2%,正例："今天天气怎么样"；反例："今天天气怎么样。"（多余标点）,启用,2026/6/5
RULE-004,V1.0,3D点云目标框标注规范,标注规范,点云,3D检测-通用,3D框应紧密包围目标完整点云；对截断目标只标注可见范围内的点云；地面点和噪点需剔除后再标注,3D框与真值IoU≥0.9；方向角误差<5度,正例：框紧密包裹点云无空隙；反例：框包含大量地面点,启用,2026/6/1
RULE-005,V1.0,图像采集质量要求,采集规范,图像,采集-通用,图像分辨率不低于1080P；无明显运动模糊；曝光正常无过曝或欠曝；雨天/夜间场景需保证目标可辨识,抽检不合格率<3%,不合格示例：夜间曝光不足导致车辆轮廓不可辨（参考QINC-001）,启用,2026/6/10
RULE-006,V1.0,语音采集环境要求,采集规范,语音,采集-通用,采样率≥16kHz；信噪比≥20dB；无明显电流声或爆音；双声道需保证说话人声音清晰可辨,抽检不合格率<2%,不合格示例：车内空调风声导致信噪比仅15dB（参考QINC-009）,启用,2026/6/10
RULE-007,V1.1,车辆属性标注规范-升级版,标注规范,图像,2D检测-车辆,在RULE-001基础上增加车辆颜色（红/白/黑/灰/蓝/其他）、车型（轿车/SUV/卡车/巴士/其他）标注,属性准确率≥93%；颜色标注需在标准光照条件下判定,阴影下深灰色车辆易误标为黑色，需对照标准色卡,启用,2026/7/1
RULE-008,V1.0,标注一致性检验规范,质检规则,通用,质检-通用,同一批数据需进行双人交叉标注；对不一致的标注结果由第三方仲裁；一致性低于阈值的数据批需全量返修,双人标注一致性≥95%（IoU或完全匹配）,BATCH-004双人一致性87%触发返修（参考QINC-004）,启用,2026/6/15
RULE-009,V1.0,人体关键点标注规范,标注规范,图像,关键点-人体,标注人体24个关键点（pelvis/hip/knee/ankle/foot/spine/neck/collar/head/shoulder/elbow/wrist/hand）；左右以图中人的左右为准；遮挡看不见的关键点不标注,关键点位置偏差<3px；漏标率<2%,pelvis点位于左右髋连线偏上小腹偏下位置，非三点一线；脚踝点位于骨节上方非脚面,启用,2026/6/20
RULE-010,V1.0,手部关键点标注规范,标注规范,图像,关键点-手部,标注手部21个关键点（含指尖/指关节/掌心）；手指弯曲可见时需逐关节标注；手部被遮挡超过50%时整体不标注,关键点位置偏差<2px；手势分类准确率≥95%,正例：五指张开时每个指尖和关节分别标注；反例：拳头状态也需标注可见关节,启用,2026/6/22
